primerid	coef	ci.hi	ci.lo	P	celltype	FDR
ACTG1	0.009574189	0.012307318	0.006841061	2.95432E-06	OPC	3.87189E-05
ACTN2	0.001685495	0.00373074	-0.00035975	0.132911912	OPC	0.228654662
ACTN4	-0.00138161	0.00339547	-0.00615869	0.327257137	OPC	0.441313271
ACTR10	-0.000903466	0.002400059	-0.00420699	0.225416421	OPC	0.336595315
ACTR1A	0.000870476	0.002955307	-0.001214355	0.696516844	OPC	0.765892352
ACTR1B	0.000651952	0.002004258	-0.000700354	0.253624315	OPC	0.366940187
ACTR2	-0.006817731	-0.001467227	-0.012168235	4.75889E-07	OPC	7.67288E-06
ACTR3	-0.000765296	0.003337241	-0.004867832	0.00190984	OPC	0.009397389
ACTR3B	-0.001320542	0.002223184	-0.004864267	0.724471266	OPC	0.787505725
ACTR6	0.000530881	0.001785865	-0.000724103	0.121586222	OPC	0.214930464
ACVR1	-0.001226888	0.002344324	-0.004798099	0.54866696	OPC	0.641793156
ACVR1B	0.000194483	0.002480951	-0.002091984	0.986233551	OPC	0.98965946
ACVR2A	-0.000386952	0.00428778	-0.005061683	0.132525847	OPC	0.228364239
ACVR2B	0.001579854	0.002774292	0.000385417	0.053005938	OPC	0.11908301
ACYP1	0.000209567	0.001854686	-0.001435553	0.765826923	OPC	0.819111086
ACYP2	-0.000698975	0.00490515	-0.006303099	0.290136825	OPC	0.405302963
ADAM10	0.000578619	0.005333557	-0.004176318	0.946485879	OPC	0.95977572
ADAM12	-0.005295769	0.000662239	-0.011253777	0.159957151	OPC	0.262922254
ADAM17	0.001579366	0.003858493	-0.000699761	0.005990322	OPC	0.023149891
ADAM19	-0.00069939	0.001731523	-0.003130302	0.800358385	OPC	0.848583069
ADAM22	-0.004826912	0.001882217	-0.011536042	0.083830251	OPC	0.164225806
ADAM23	0.004246801	0.009076369	-0.000582767	0.13865582	OPC	0.236479765
ADAM32	0.001544461	0.003102983	-1.40614E-05	0.317859591	OPC	0.432277323
ADAM9	0.000583027	0.003047842	-0.001881788	0.291132715	OPC	0.406203082
ADAMTS10	-0.002116103	0.001404728	-0.005636934	0.286807338	OPC	0.4019477
ADAMTS17	-0.022240575	-0.016324036	-0.028157114	9.38767E-11	OPC	2.80538E-09
ADAMTS6	-0.001198885	0.002503671	-0.00490144	0.525674868	OPC	0.621504751
ADAMTS9	-0.009479936	-0.002709143	-0.016250729	0.000120627	OPC	0.000973579
ADAR	-0.001170441	0.002666038	-0.005006921	0.042608493	OPC	0.100889576
ADARB1	-0.00327938	0.000772283	-0.007331044	0.035317434	OPC	0.087573594
ADARB2	-0.018432998	-0.013603626	-0.02326237	6.41748E-16	OPC	3.47597E-14
ADCY1	-0.007227097	-0.001332144	-0.013122049	0.01084028	OPC	0.036536541
ADCY2	0.006803481	0.011818334	0.001788629	0.049013669	OPC	0.112223174
ADCY3	-0.003443921	0.000614995	-0.007502837	0.000384832	OPC	0.002597895
ADCY5	0.001567975	0.003325983	-0.000190034	0.212152029	OPC	0.322484108
ADCY6	0.000546429	0.002349033	-0.001256175	0.256563897	OPC	0.369957883
ADCY8	0.004042874	0.008768111	-0.000682363	0.256232773	OPC	0.36971481
ADCY9	-0.004848798	0.000627792	-0.010325389	0.044595962	OPC	0.104277844
ADCYAP1R1	0.000558976	0.002108062	-0.000990109	0.646202236	OPC	0.725055851
ADD1	0.002085585	0.006418338	-0.002247169	0.57790402	OPC	0.667100994
ADD2	-0.00392384	0.000593712	-0.008441393	0.021008173	OPC	0.059692485
ADD3	0.00954915	0.01552206	0.00357624	0.003735444	OPC	0.016085612
ADGRA1	0.002304753	0.004225825	0.000383682	0.142783202	OPC	0.241796761
ADGRA3	-0.000986483	0.003194715	-0.005167682	0.061312034	OPC	0.132563096
ADGRB1	0.012361607	0.01522973	0.009493484	2.45258E-08	OPC	5.28067E-07
ADGRB2	0.00438563	0.005504445	0.003266815	8.31444E-06	OPC	9.63946E-05
ADGRB3	0.017663839	0.022000178	0.0133275	1.35698E-22	OPC	1.30666E-20
ADGRG1	0.012681129	0.016564615	0.008797644	5.13992E-08	OPC	1.02106E-06
ADGRL1	0.000758586	0.004552662	-0.00303549	0.427877087	OPC	0.533826137
ADGRL2	0.001065643	0.002515132	-0.000383845	0.483475132	OPC	0.584560359
ADGRL3	0.022101598	0.025340547	0.018862648	2.89069E-44	OPC	1.0548E-41
ADH5	0.000682851	0.002390096	-0.001024393	0.153567376	OPC	0.254830689
ADHFE1	-0.007932484	-0.00196177	-0.013903199	0.000179174	OPC	0.001360583
ADI1	-0.001243797	0.001267095	-0.003754689	0.363892272	OPC	0.475205334
ADIPOR2	-0.012045551	-0.005217887	-0.018873215	3.12527E-05	OPC	0.000306038
ADK	-0.000157952	0.005604334	-0.005920237	0.043966602	OPC	0.10325896
ADNP	-0.005672335	0.000438936	-0.011783606	0.088443302	OPC	0.171182975
ADNP2	0.000823433	0.002732793	-0.001085926	0.749710093	OPC	0.80747865
ADORA1	-0.003016963	0.000895029	-0.006928955	0.171135432	OPC	0.276375949
ADPGK	-0.003801104	0.00032762	-0.007929828	0.043417696	OPC	0.10217749
ADRA1A	-0.003651343	0.001927489	-0.009230174	0.389313649	OPC	0.499280712
AEBP2	0.005936669	0.009404442	0.002468896	0.018520246	OPC	0.054569002
AFAP1	0.000451079	0.006624512	-0.005722354	0.001469174	OPC	0.007578708
AFAP1L2	0.00776974	0.011808708	0.003730772	0.006061486	OPC	0.023372793
AFDN	-0.002654786	0.003928587	-0.00923816	0.616281778	OPC	0.69986594
AFF1	0.002530265	0.006636226	-0.001575696	0.329583799	OPC	0.443075602
AFF2	0.000410926	0.002836407	-0.002014555	0.941718887	OPC	0.955640668
AFF3	-0.011042543	-0.003982977	-0.018102108	0.000821359	OPC	0.004850493
AFF4	-0.007505031	-0.001226479	-0.013783583	4.84336E-05	OPC	0.00044183
AFG1L	0.00140085	0.004274005	-0.001472305	0.004308093	OPC	0.017874333
AFG3L2	-0.007470655	-0.001902398	-0.013038912	0.000439776	OPC	0.002892759
AFTPH	0.000655974	0.003719818	-0.00240787	0.202390421	OPC	0.311346393
AGAP1	-0.000544814	0.004183923	-0.005273551	0.000296087	OPC	0.002073505
AGAP2	-0.002211735	0.001337778	-0.005761247	0.084558601	OPC	0.165418957
AGAP3	0.002087353	0.004659163	-0.000484456	0.381774399	OPC	0.492069513
AGAP4	0.0008601	0.003455838	-0.001735638	0.827439657	OPC	0.868792843
AGAP6	0.001022789	0.003182322	-0.001136744	0.704683462	OPC	0.772300102
AGAP9	0.00267211	0.003385824	0.001958396	0.000102047	OPC	0.000841655
AGBL1	-0.000455713	0.001758656	-0.002670083	0.810389067	OPC	0.855684953
AGBL3	0.000644123	0.002079726	-0.00079148	0.17894443	OPC	0.284415804
AGBL4	-0.02607801	-0.018114588	-0.034041433	9.09936E-12	OPC	3.18615E-10
AGFG1	0.005247243	0.009562401	0.000932085	0.100298064	OPC	0.186826029
AGK	0.000372635	0.002943777	-0.002198507	0.205689944	OPC	0.315267721
AGL	-0.003127853	0.000907655	-0.00716336	0.201743444	OPC	0.310750343
AGMO	-0.001236615	0.002960827	-0.005434058	0.765162521	OPC	0.818653049
AGO1	-0.003011819	0.000953268	-0.006976905	0.069627849	OPC	0.144749082
AGO2	-0.007735271	-0.00160416	-0.013866382	0.011761892	OPC	0.03902683
AGO3	0.002265872	0.007626698	-0.003094954	0.115070292	OPC	0.206679362
AGO4	-0.003670316	0.001360686	-0.008701319	0.014668821	OPC	0.045810332
AGPAT1	0.001160279	0.00276027	-0.000439712	0.11737488	OPC	0.209840136
AGPAT3	-0.004768074	-0.000149108	-0.00938704	0.030979346	OPC	0.079288041
AGPAT4	-0.016877799	-0.009468796	-0.024286802	3.28002E-07	OPC	5.4273E-06
AGPAT5	-0.003777539	0.001111319	-0.008666397	0.011790249	OPC	0.039081696
AGPS	-0.000452038	0.003441157	-0.004345232	0.515515146	OPC	0.61220735
AGRN	0.004482445	0.006052102	0.002912788	0.001297579	OPC	0.006925415
AGTPBP1	-0.005239804	0.000740143	-0.01121975	4.47402E-05	OPC	0.000412479
AHCTF1	-8.36426E-05	0.004185725	-0.004353011	0.000564607	OPC	0.003568295
AHCYL1	0.006186824	0.008603838	0.003769811	0.00055286	OPC	0.003510056
AHCYL2	0.002241861	0.007051218	-0.002567496	0.681804571	OPC	0.753419045
AHDC1	-0.006470531	-0.000829722	-0.012111341	0.001448069	OPC	0.007508947
AHI1	-0.023963264	-0.016851094	-0.031075434	5.80771E-12	OPC	2.10811E-10
AHSA1	0.002666325	0.002926524	0.002406127	1.05867E-07	OPC	1.96251E-06
AIDA	0.000704841	0.001899143	-0.000489462	0.439575512	OPC	0.544988738
AIG1	-0.001774337	0.00388358	-0.007432255	0.298037844	OPC	0.412269827
AIMP1	-0.001275788	0.001388289	-0.003939865	0.47211562	OPC	0.574947759
AJAP1	-0.001186366	0.002417331	-0.004790063	0.079583981	OPC	0.158504954
AK2	0.000717034	0.002635035	-0.001200967	0.11065794	OPC	0.200520518
AK3	0.003479509	0.006119728	0.00083929	0.009355458	OPC	0.032349822
AK5	0.003141683	0.005469395	0.000813971	0.00233671	OPC	0.011080994
AK9	0.001179916	0.003440854	-0.001081022	0.581301543	OPC	0.669573617
AKAP10	0.000667254	0.003989823	-0.002655314	0.074828941	OPC	0.152092948
AKAP11	-0.00557805	7.50011E-05	-0.011231101	0.051252375	OPC	0.116045956
AKAP12	0.007009093	0.009773073	0.004245113	0.000972804	OPC	0.005510171
AKAP13	0.001191374	0.006431953	-0.004049206	0.471854492	OPC	0.574820351
AKAP6	0.002072807	0.008715631	-0.004570017	0.608887643	OPC	0.693792436
AKAP7	-0.006678525	-0.000703716	-0.012653333	0.015483349	OPC	0.047624693
AKAP8L	-0.011362075	-0.004637728	-0.018086423	6.66105E-05	OPC	0.00058195
AKAP9	-0.009864589	-0.002961428	-0.01676775	0.000150557	OPC	0.001174141
AKIRIN1	-0.003641267	0.000556203	-0.007838736	0.000496627	OPC	0.003214858
AKIRIN2	-0.000826497	0.00158745	-0.003240443	0.689850619	OPC	0.760492025
AKNA	0.002793621	0.004561341	0.001025901	0.058309688	OPC	0.127326321
AKR1C3	-0.001105829	0.001746923	-0.00395858	0.674713591	OPC	0.747829224
AKT1	0.001371928	0.002890719	-0.000146863	0.153104145	OPC	0.254305472
AKT2	0.007373189	0.009098708	0.005647669	2.45259E-06	OPC	3.28258E-05
AKT3	0.006302441	0.01213713	0.000467751	0.065827809	OPC	0.139099116
ALCAM	0.006600858	0.013328341	-0.000126625	0.047069945	OPC	0.108960244
ALDH18A1	-0.001453286	0.001674074	-0.004580646	0.176841508	OPC	0.282155362
ALDH1A3	-0.003052009	0.000782069	-0.006886086	0.054762219	OPC	0.12168797
ALDH1L1	0.004013596	0.006421437	0.001605756	0.005432635	OPC	0.021554423
ALDH1L2	-0.00057488	0.001760085	-0.002909846	0.376049618	OPC	0.486772218
ALDH2	-0.003287643	0.000541134	-0.00711642	0.005550517	OPC	0.021889496
ALDH3A2	0.000804049	0.002411981	-0.000803883	0.302753137	OPC	0.416925018
ALDH5A1	-0.001540851	0.001588014	-0.004669716	0.495225347	OPC	0.594274261
ALDH6A1	-0.001503911	0.001692458	-0.004700281	0.050820498	OPC	0.115369519
ALDH7A1	0.003223718	0.005383604	0.001063833	0.061918778	OPC	0.133566549
ALDH9A1	-0.000105715	0.001928984	-0.002140415	0.456941043	OPC	0.561299123
ALDOC	NA	NA	NA	4.29608E-12	OPC	1.60999E-10
ALG13	0.00022332	0.003728323	-0.003281683	0.253282491	OPC	0.366763164
ALG14	-0.000231316	0.002174909	-0.002637541	0.70349638	OPC	0.771364922
ALG5	-0.002735494	0.000937481	-0.006408468	0.198899683	OPC	0.307452957
ALG6	-0.002864771	0.001067159	-0.006796702	0.132859761	OPC	0.228654662
ALG8	-0.00093124	0.001644089	-0.003506568	0.530131246	OPC	0.625706491
ALK	-0.002161529	0.005067036	-0.009390094	0.483584452	OPC	0.584560359
ALKBH1	-0.003125716	0.000623839	-0.006875272	0.081979948	OPC	0.161559687
ALKBH3	0.000717923	0.002267173	-0.000831327	0.715340908	OPC	0.779911703
ALKBH5	-0.001077444	0.001534931	-0.00368982	0.620656195	OPC	0.703157269
ALKBH8	-0.001145219	0.001677661	-0.003968099	0.65091528	OPC	0.728515721
ALMS1	-0.007523198	-0.001595957	-0.013450439	0.004388126	OPC	0.018195499
ALS2	-0.002899733	0.001168832	-0.006968298	0.020618323	OPC	0.058850075
AMBRA1	-0.006024632	-4.84134E-05	-0.012000851	0.037446042	OPC	0.091509838
AMD1	0.006112731	0.007672758	0.004552705	2.13476E-05	OPC	0.00022057
AMER2	0.002824734	0.004947043	0.000702425	0.112094871	OPC	0.202542022
AMFR	-0.003428792	0.000807905	-0.007665489	0.144735427	OPC	0.24420801
AMMECR1	0.000940327	0.003206497	-0.001325843	0.076304852	OPC	0.15396436
AMN1	-0.00217052	0.001411421	-0.00575246	0.187388819	OPC	0.294328655
AMOTL1	-0.001885971	0.001571081	-0.005343022	0.449073399	OPC	0.553793289
AMPD2	0.003001528	0.004096951	0.001906104	0.002131149	OPC	0.010282015
AMPH	-0.006096559	-0.000143382	-0.012049736	0.086899779	OPC	0.168997523
AMY2B	-0.002914928	0.000931369	-0.006761225	0.135660614	OPC	0.232748092
AMZ1	-0.014441643	-0.007561644	-0.021321642	5.5276E-05	OPC	0.000495127
ANAPC1	0.000779379	0.004433012	-0.002874255	0.897333611	OPC	0.92316574
ANAPC10	0.000412032	0.004865258	-0.004041193	0.132187223	OPC	0.228087112
ANAPC16	0.000389817	0.003616319	-0.002836686	0.767062953	OPC	0.820053578
ANAPC4	-0.000191753	0.002939929	-0.003323434	0.564872041	OPC	0.655550361
ANAPC5	0.001793026	0.004716866	-0.001130815	0.395045014	OPC	0.504298855
ANAPC7	-0.0010265	0.001903539	-0.003956538	0.749453582	OPC	0.807453254
ANGEL1	0.002314166	0.004662339	-3.40059E-05	0.166938665	OPC	0.271559307
ANGEL2	0.001845019	0.003991589	-0.000301552	0.125454396	OPC	0.220015571
ANGPT2	-0.000207136	0.002041283	-0.002455555	0.92044348	OPC	0.939966806
ANGPTL2	0.001010886	0.002679515	-0.000657742	0.506602244	OPC	0.603794629
ANK2	0.003900748	0.010742286	-0.002940789	0.3581791	OPC	0.470491796
ANK3	0.008401473	0.015757771	0.001045174	0.049645685	OPC	0.113221557
ANKAR	0.001917117	0.005874341	-0.002040106	0.65815156	OPC	0.733949616
ANKDD1A	-0.005229113	-0.000154888	-0.010303339	3.51388E-06	OPC	4.51893E-05
ANKFN1	-0.001590394	0.002581659	-0.005762448	0.652328656	OPC	0.72968612
ANKFY1	-0.00024977	0.00291704	-0.003416579	0.064726805	OPC	0.137484969
ANKH	-0.001732534	0.003776667	-0.007241735	0.410233052	OPC	0.517870676
ANKHD1	-1.355638664	0.738204243	-3.449481571	4.06011E-16	OPC	2.2519E-14
ANKIB1	0.004646152	0.010434737	-0.001142434	0.189263076	OPC	0.296306415
ANKLE2	-0.001063418	0.001560901	-0.003687737	0.641205154	OPC	0.720615227
ANKMY1	-0.005002307	-0.00021708	-0.009787533	0.010866276	OPC	0.036592434
ANKMY2	0.001678817	0.003470173	-0.000112539	0.047729568	OPC	0.110214399
ANKRA2	0.001213238	0.002595475	-0.000169	0.007295001	OPC	0.026774081
ANKRD10	0.006776367	0.012196925	0.001355809	0.043105355	OPC	0.101636315
ANKRD11	-0.013325445	-0.006428423	-0.020222468	4.62628E-05	OPC	0.000425907
ANKRD12	-0.007749301	-0.000960456	-0.014538146	0.012642855	OPC	0.041141729
ANKRD13A	-0.000390852	0.002163905	-0.00294561	0.892790659	OPC	0.919583663
ANKRD13C	-0.004191523	0.001123211	-0.009506256	0.12695798	OPC	0.221932631
ANKRD13D	0.001484614	0.002631589	0.000337639	0.176193501	OPC	0.2814352
ANKRD16	-0.001908688	0.001402736	-0.005220111	0.375941627	OPC	0.486772218
ANKRD17	0.00507733	0.011996145	-0.001841486	0.117048215	OPC	0.209472192
ANKRD20A1	0.002130988	0.002604279	0.001657698	2.9005E-05	OPC	0.000287432
ANKRD23	0.000416009	0.002080985	-0.001248967	0.543474332	OPC	0.637655702
ANKRD26	-0.003116236	0.002446294	-0.008678766	0.350789104	OPC	0.463418608
ANKRD28	0.002612483	0.009493526	-0.00426856	0.410139008	OPC	0.51785998
ANKRD30BL	-0.014694597	-0.007065089	-0.022324106	1.40348E-05	OPC	0.000154122
ANKRD36	-0.025088381	-0.018499127	-0.031677636	4.42924E-13	OPC	1.80635E-11
ANKRD36B	0.00141609	0.005045124	-0.002212944	0.016387184	OPC	0.049677458
ANKRD36C	-0.012635711	-0.005679639	-0.019591783	3.44936E-05	OPC	0.000331998
ANKRD44	-0.003041626	0.003991488	-0.010074739	0.242541276	OPC	0.355881199
ANKRD46	0.000418305	0.002612968	-0.001776359	0.931705865	OPC	0.948394768
ANKRD50	0.000122597	0.002777303	-0.00253211	0.907239643	OPC	0.929632345
ANKRD52	-0.000389908	0.001990387	-0.002770203	0.079780926	OPC	0.158805961
ANKRD55	-0.005748566	-0.000350674	-0.011146458	0.013062565	OPC	0.041985519
ANKRD6	-0.000597104	0.002634212	-0.00382842	0.64960425	OPC	0.727695308
ANKS1A	-0.003750444	0.00166219	-0.009163077	0.335860989	OPC	0.44908857
ANKS1B	-0.001203094	0.002570606	-0.004976795	0.179375178	OPC	0.284904492
ANKS3	-0.000878568	0.002227306	-0.003984441	0.013935704	OPC	0.044040883
ANKS6	-0.000134467	0.002342985	-0.002611919	0.970614433	OPC	0.977922482
ANKUB1	-0.002809989	0.000414313	-0.006034291	0.003195953	OPC	0.014176289
ANKZF1	0.001039831	0.003230399	-0.001150737	0.677824747	OPC	0.750336735
ANO10	-0.008214046	-0.001952051	-0.014476041	0.000402574	OPC	0.002694062
ANO2	0.001121315	0.002872197	-0.000629568	0.423652114	OPC	0.529985584
ANO4	0.000281733	0.006418467	-0.005855002	0.754932786	OPC	0.811464962
ANO5	-0.00029808	0.00458035	-0.005176509	0.059270285	OPC	0.129017547
ANO6	0.002279257	0.006485885	-0.001927371	0.005686634	OPC	0.022236567
ANO8	0.002423867	0.003414925	0.001432809	0.014713559	OPC	0.045908688
ANP32A	-0.001922804	0.001665739	-0.005511347	0.482313534	OPC	0.583574124
ANTXR1	-0.003348016	0.002709482	-0.009405513	0.210733808	OPC	0.321032189
ANXA4	0.000151936	0.002627606	-0.002323734	0.897886492	OPC	0.923460473
ANXA5	-0.001341987	0.001664759	-0.004348733	0.09763824	OPC	0.183498488
ANXA6	0.003352346	0.004723807	0.001980885	0.003995274	OPC	0.016982977
ANXA7	-0.003484708	0.00056486	-0.007534277	0.000637459	OPC	0.003956581
AOAH	-0.010291153	-0.003113623	-0.017468683	4.63673E-05	OPC	0.000425907
AOPEP	NA	NA	NA	3.97034E-10	OPC	1.10548E-08
AP1AR	-0.000574327	0.001714147	-0.002862802	0.617259903	OPC	0.700632434
AP1B1	-6.33633E-05	0.002255723	-0.00238245	0.763271452	OPC	0.817639211
AP1G1	0.000797238	0.004440365	-0.002845889	0.011474861	OPC	0.038292533
AP1G2	-0.008260859	-0.001445021	-0.015076697	0.000504527	OPC	0.003241787
AP1M1	-1.5857E-05	0.002155766	-0.00218748	0.443683483	OPC	0.548840456
AP1S2	9.81115E-05	0.002397727	-0.002201504	0.639565973	OPC	0.719472804
AP2A1	0.000555354	0.002589631	-0.001478924	0.391336061	OPC	0.500485687
AP2A2	-0.005888945	-0.000516669	-0.011261222	0.029382961	OPC	0.076325241
AP2B1	-0.001744853	0.002898384	-0.00638809	0.025592039	OPC	0.068922192
AP2M1	0.005398644	0.00667	0.004127287	2.66955E-06	OPC	3.51863E-05
AP2S1	-0.000186437	0.001563947	-0.001936822	0.022710781	OPC	0.063361709
AP3B1	-0.000819075	0.004343777	-0.005981926	0.033428031	OPC	0.08406113
AP3B2	-0.004016606	0.00071738	-0.008750593	0.127620631	OPC	0.22281386
AP3D1	0.00247544	0.004146402	0.000804478	0.088232867	OPC	0.171009681
AP3S1	0.003742743	0.00585599	0.001629496	0.022167031	OPC	0.062094556
AP3S2	-0.001769976	0.001166837	-0.004706789	0.190491004	OPC	0.297583175
AP4E1	0.00092231	0.003207271	-0.001362651	0.31000647	OPC	0.42433857
AP4S1	-0.00072214	0.002191882	-0.003636163	0.492617155	OPC	0.591908967
AP5M1	0.001030297	0.00304951	-0.000988915	0.581604666	OPC	0.669811486
APAF1	-0.003884096	0.00043876	-0.008206953	0.037177159	OPC	0.091109666
APBA1	-0.003717217	0.002567539	-0.010001973	0.026039797	OPC	0.069785044
APBA2	6.34912E-05	0.00617309	-0.006046107	0.115840871	OPC	0.207740497
APBB1	0.007562016	0.008986153	0.006137879	7.47869E-08	OPC	1.44027E-06
APBB2	0.005280026	0.01109413	-0.000534078	0.081337417	OPC	0.160704563
APC	-0.004939664	0.001230464	-0.011109792	0.235597366	OPC	0.347606723
APC2	0.003050678	0.005623745	0.000477611	0.143081347	OPC	0.242092251
APCDD1	-0.020841428	-0.013631582	-0.028051274	6.07964E-10	OPC	1.64649E-08
APEX1	-0.000608084	0.001393574	-0.002609743	0.000245867	OPC	0.001775617
