primerid	coef	ci.hi	ci.lo	P
ABI2	-0.011541669	-0.003370286	0.003370286	2.9508E-10
ABL1	-0.005768076	-0.000585098	0.000585098	0.000164311
ABL2	0.009661774	0.015591911	-0.015591911	4.27596E-09
ABLIM1	0.042143968	0.050785106	-0.050785106	2.91002E-66
ABLIM2	-0.156875081	-0.149938517	0.149938517	0
ABLIM3	-0.01395426	-0.009841061	0.009841061	2.33266E-12
ABR	-0.038096614	-0.031180563	0.031180563	4.41211E-29
ABTB1	0.032899819	0.036304108	-0.036304108	1.75566E-83
ACAA1	0.005104183	0.007782494	-0.007782494	0.000115354
ACACA	-0.017192949	-0.008961678	0.008961678	7.35656E-08
ACAD9	-0.008423541	-0.00573588	0.00573588	6.29948E-10
ACADM	-0.010828382	-0.006862208	0.006862208	2.56633E-12
ACADSB	-0.00418957	-0.000258893	0.000258893	7.44447E-06
ACADVL	0.037299303	0.042985193	-0.042985193	1.30325E-38
ACAP2	-0.064911945	-0.057817063	0.057817063	7.13968E-74
ACAP3	0.110043163	0.118081712	-0.118081712	8.1837E-182
ACAT1	0.006329246	0.009636093	-0.009636093	1.8101E-10
ACBD3	-0.00614695	-0.003028618	0.003028618	2.60055E-05
ACBD5	0.00453672	0.007591538	-0.007591538	2.73431E-13
ACBD6	-0.035916015	-0.028682916	0.028682916	2.26776E-22
ACER3	-0.004642859	-0.000321383	0.000321383	2.46669E-08
ACIN1	0.024995428	0.031020817	-0.031020817	2.45258E-38
ACO1	0.008447187	0.011632142	-0.011632142	1.13084E-06
ACO2	-0.002695821	0.001764892	-0.001764892	0.00418877
ACOT11	-0.021283903	-0.017781697	0.017781697	1.72532E-43
ACOT7	-0.017669842	-0.012887511	0.012887511	2.11769E-13
ACOX1	0.009182138	0.012084539	-0.012084539	5.84236E-11
ACOX3	-0.014068997	-0.011208869	0.011208869	9.64302E-22
ACSF3	-0.005098934	-0.002370113	0.002370113	3.311E-11
ACSL1	0.003097052	0.005870677	-0.005870677	6.53718E-09
ACSL3	-0.027460082	-0.02067719	0.02067719	1.43252E-17
ACSL4	0.001021163	0.006637454	-0.006637454	5.15186E-06
ACSS2	0.010991655	0.013852256	-0.013852256	1.74575E-16
ACTB	0.169734282	0.178210711	-0.178210711	0
ACTG1	0.005926968	0.011237853	-0.011237853	1.62657E-09
ACTL6B	0.00543851	0.008122309	-0.008122309	2.54737E-15
ACTN1	-0.008805442	-0.002588504	0.002588504	4.46091E-09
ACTN2	0.003394224	0.006458623	-0.006458623	3.96269E-07
ACTN4	-0.045489338	-0.038690718	0.038690718	1.26187E-42
ACTR10	-0.01740132	-0.013524458	0.013524458	4.45487E-19
ACTR1A	0.036633106	0.040803699	-0.040803699	1.27929E-66
ACTR1B	0.007703097	0.010884776	-0.010884776	1.37303E-05
ACTR2	-0.043079248	-0.036971414	0.036971414	4.65167E-54
ACTR3	-2.28705E-06	0.004130033	-0.004130033	1.75258E-08
ACTR3B	-0.030045798	-0.025352171	0.025352171	7.14191E-36
ACVR1	-0.004078738	-0.001113687	0.001113687	0.003463627
ACVR1B	-0.008400005	-0.00343488	0.00343488	4.34609E-10
ACVR1C	-0.01834302	-0.015014741	0.015014741	2.49018E-28
ACVR2A	-0.011410905	-0.006325741	0.006325741	1.25751E-11
ACVR2B	-0.000795203	0.001907458	-0.001907458	0.04389403
ACYP1	0.001021105	0.003581954	-0.003581954	0.000725577
ACYP2	-0.070699125	-0.062942481	0.062942481	1.31954E-71
ADAM10	-0.01871422	-0.012427136	0.012427136	4.78702E-13
ADAM11	0.029522358	0.034800862	-0.034800862	2.59432E-37
ADAM15	0.017870264	0.021181235	-0.021181235	1.78702E-26
ADAM17	-0.01451995	-0.010637607	0.010637607	7.08706E-16
ADAM19	-0.020581799	-0.017291987	0.017291987	1.07896E-37
ADAM22	-0.079241208	-0.070138802	0.070138802	3.06389E-65
ADAM23	-0.117352739	-0.108155924	0.108155924	9.2856E-137
ADAM32	-0.010895368	-0.007095482	0.007095482	8.01925E-08
ADAM9	-0.019331599	-0.01523105	0.01523105	3.02169E-20
ADAMTS10	0.014011058	0.018159789	-0.018159789	5.86113E-24
ADAMTS16	0.008619766	0.011867257	-0.011867257	4.37017E-11
ADAMTS17	0.003838966	0.008240508	-0.008240508	0.020991967
ADAMTS19	0.016661815	0.021770747	-0.021770747	9.91958E-21
ADAMTS3	-0.022588789	-0.01856842	0.01856842	4.62862E-33
ADAMTS6	-0.000863445	0.002322676	-0.002322676	0.604244216
ADAMTSL1	-0.07041789	-0.064653843	0.064653843	2.4262E-130
ADAMTSL3	0.012063914	0.016259261	-0.016259261	8.14991E-08
ADAP1	0.037370967	0.041654096	-0.041654096	8.65267E-75
ADAR	0.03320652	0.038253962	-0.038253962	2.69784E-48
ADARB1	-0.003943018	0.000754409	-0.000754409	0.015753753
ADARB2	0.031147713	0.04223443	-0.04223443	1.02997E-49
ADCK5	0.013613938	0.016603221	-0.016603221	9.44896E-20
ADCY1	-0.067807314	-0.060275673	0.060275673	4.62592E-69
ADCY2	-0.058699411	-0.0492953	0.0492953	1.19739E-35
ADCY3	-0.009953813	-0.006105509	0.006105509	8.65131E-09
ADCY5	0.00668308	0.011051342	-0.011051342	0.000168246
ADCY6	0.004034683	0.007193062	-0.007193062	3.36884E-09
ADCY8	-0.009229771	-0.004013504	0.004013504	2.39961E-12
ADCY9	-0.088968685	-0.081914187	0.081914187	1.7709E-135
ADCYAP1R1	0.009950156	0.013611028	-0.013611028	8.32994E-08
ADD1	0.016713353	0.023051302	-0.023051302	1.07299E-15
ADD2	0.012497889	0.019503646	-0.019503646	2.71222E-22
ADD3	0.02439564	0.031124352	-0.031124352	1.49903E-23
ADGRA1	0.006633979	0.010678746	-0.010678746	5.17188E-05
ADGRA3	0.000763567	0.003398791	-0.003398791	8.12814E-05
ADGRB1	0.024487492	0.030081032	-0.030081032	1.0254E-16
ADGRB2	0.05986559	0.064781519	-0.064781519	8.6071E-136
ADGRB3	-0.054940604	-0.050270805	0.050270805	2.7221E-122
ADGRL1	-0.009078053	-0.002532136	0.002532136	1.20549E-07
ADGRL2	-0.056512657	-0.046496989	0.046496989	5.41707E-66
ADGRL3	-0.019170471	-0.012563514	0.012563514	3.14289E-36
ADGRV1	0.035791466	0.040927537	-0.040927537	1.18288E-53
ADH5	0.007494645	0.010251977	-0.010251977	1.85974E-11
ADIPOR2	0.012158342	0.015683865	-0.015683865	1.49006E-16
ADK	-0.089904198	-0.081157709	0.081157709	1.1928E-89
ADNP	-0.019165502	-0.01301889	0.01301889	1.34082E-13
ADNP2	-0.010453727	-0.006688135	0.006688135	1.21686E-15
ADORA1	0.007507549	0.010375518	-0.010375518	1.96873E-19
ADRA1A	0.01132202	0.015151916	-0.015151916	1.70315E-10
ADRA1B	0.006583873	0.00961037	-0.00961037	5.96598E-05
AEBP2	-0.098333842	-0.08905605	0.08905605	2.09322E-94
AFAP1	-0.007823023	-0.003592355	0.003592355	0.000640881
AFDN	-0.010882284	-0.004108658	0.004108658	6.1486E-10
AFF1	0.015050854	0.020264548	-0.020264548	5.04192E-14
AFF2	0.02681071	0.03219999	-0.03219999	2.00728E-22
AFF3	-0.156696399	-0.147543598	0.147543598	1.0952E-244
AFF4	-0.0306534	-0.024071854	0.024071854	1.12886E-22
AFG1L	-0.035022229	-0.030527868	0.030527868	5.64222E-55
AFG3L2	-0.009868901	-0.006891525	0.006891525	6.11026E-11
AFTPH	-0.006506451	-0.001977214	0.001977214	1.12126E-07
AGAP1	-0.06629952	-0.056895136	0.056895136	2.54208E-42
AGAP2	0.009251372	0.014030233	-0.014030233	8.24805E-17
AGAP3	0.061079898	0.06780935	-0.06780935	2.8586E-100
AGAP4	-0.028998124	-0.02550815	0.02550815	2.60395E-62
AGAP6	-0.072052547	-0.06861882	0.06861882	0
AGBL3	-0.011591362	-0.007910529	0.007910529	6.27088E-11
AGBL4	-0.28269005	-0.274832912	0.274832912	0
AGFG1	-0.012406848	-0.006176793	0.006176793	1.77602E-13
AGK	-0.018734784	-0.015081059	0.015081059	2.99616E-25
AGL	-0.012266114	-0.008392243	0.008392243	5.76651E-14
AGO1	7.33459E-05	0.003880812	-0.003880812	9.35874E-08
AGO2	-0.013112919	-0.008758919	0.008758919	4.86892E-13
AGO3	-0.010282196	-0.003883971	0.003883971	2.69111E-05
AGO4	-0.023852379	-0.01920934	0.01920934	1.19782E-26
AGPAT1	0.011266973	0.014429963	-0.014429963	2.86534E-11
AGPAT3	-0.004885141	-0.000968035	0.000968035	6.63553E-06
AGPAT4	-0.054210241	-0.047608501	0.047608501	1.5684E-57
AGPAT5	-0.006647306	-0.002513688	0.002513688	3.41282E-07
AGPS	-0.014134744	-0.009644429	0.009644429	3.62358E-11
AGRN	-0.019925368	-0.016288151	0.016288151	2.12962E-33
AGTPBP1	-0.056924561	-0.048946907	0.048946907	9.45291E-48
AHCTF1	-0.021694078	-0.015761313	0.015761313	1.4036E-16
AHCYL1	0.025389787	0.03001286	-0.03001286	1.93179E-35
AHCYL2	-0.016661337	-0.010135791	0.010135791	1.36168E-10
AHDC1	0.000420816	0.005870006	-0.005870006	7.11951E-11
AHI1	-0.189759636	-0.180515294	0.180515294	0
AHSA1	0.008896075	0.011804623	-0.011804623	1.48485E-09
AIG1	-0.085893086	-0.077490537	0.077490537	2.823E-88
AJAP1	-0.02588378	-0.020124839	0.020124839	3.48788E-21
AJM1	0.024438809	0.027938912	-0.027938912	7.86772E-43
AK2	0.001367529	0.003966061	-0.003966061	1.45425E-06
AK3	0.001873939	0.005621599	-0.005621599	1.07949E-06
AK4	0.018965656	0.022256537	-0.022256537	1.22863E-30
AK5	-0.029990779	-0.020385492	0.020385492	4.68007E-17
AK9	-0.003769206	4.91886E-07	-4.91886E-07	0.000166801
AKAP1	0.006201159	0.00925128	-0.00925128	3.68481E-06
AKAP10	-0.008046595	-0.003825246	0.003825246	8.42575E-08
AKAP11	-0.013634387	-0.005974979	0.005974979	4.72508E-16
AKAP12	-0.016256413	-0.011025035	0.011025035	1.44958E-12
AKAP13	-0.006215244	-0.002086868	0.002086868	1.51101E-19
AKAP5	-0.006866551	-0.004164518	0.004164518	9.02481E-09
AKAP6	-0.104125075	-0.095318707	0.095318707	4.4112E-122
AKAP7	-0.005510313	-0.001306941	0.001306941	0.000205957
AKAP8L	-0.059824164	-0.052104833	0.052104833	4.0117E-59
AKAP9	-0.04919938	-0.041067007	0.041067007	1.16404E-48
AKIRIN1	-0.00096025	0.002231344	-0.002231344	0.030677181
AKT1	0.005236471	0.008305672	-0.008305672	7.63153E-11
AKT2	0.018539857	0.023772677	-0.023772677	1.01601E-27
AKT3	-0.150910656	-0.142337624	0.142337624	4.2406E-269
ALCAM	0.034480752	0.041849968	-0.041849968	1.48191E-23
ALDH18A1	-0.002826061	-8.87577E-05	8.87577E-05	1.01578E-07
ALDH1A2	-0.01067496	-0.007434517	0.007434517	5.99877E-18
ALDH1L2	0.006270865	0.008688814	-0.008688814	6.02183E-07
ALDH3A2	-3.6109E-05	0.003701224	-0.003701224	1.20602E-15
ALDH5A1	-0.010232305	-0.00697986	0.00697986	4.28813E-14
ALDH7A1	-0.000364163	0.002538237	-0.002538237	2.82359E-05
ALG13	-0.013523929	-0.009080523	0.009080523	2.4334E-12
ALG14	-0.016207787	-0.012999209	0.012999209	2.90072E-23
ALG5	-0.004766053	-0.002044658	0.002044658	1.11622E-05
ALK	-0.005328336	0.000192144	-0.000192144	0.161725905
ALKBH3	-0.011432901	-0.008671042	0.008671042	7.08103E-16
ALKBH5	0.007315943	0.010633777	-0.010633777	1.13206E-08
ALKBH8	-0.011384257	-0.008473223	0.008473223	6.37466E-15
ALMS1	-0.042951522	-0.037358711	0.037358711	2.41432E-52
ALS2	-0.012455939	-0.007334072	0.007334072	6.83643E-13
AMBRA1	-0.05952775	-0.053176798	0.053176798	3.31204E-78
AMD1	0.052605799	0.057239817	-0.057239817	1.9882E-121
AMDHD2	0.013686085	0.016779373	-0.016779373	8.42569E-23
AMER2	0.04422901	0.047973231	-0.047973231	1.9785E-121
AMFR	0.004870742	0.008225925	-0.008225925	1.81097E-06
AMH	-0.015046381	-0.011712608	0.011712608	2.1853E-24
AMIGO1	0.017635251	0.020306322	-0.020306322	2.77905E-37
AMMECR1	-0.015232705	-0.00884243	0.00884243	1.98097E-11
AMN1	-0.007156948	-0.003018081	0.003018081	1.20901E-06
AMOTL1	0.004545464	0.007607208	-0.007607208	0.002389971
AMPD2	0.03990539	0.043335789	-0.043335789	1.1429E-113
AMPH	-0.02646595	-0.017306849	0.017306849	2.20074E-21
AMY2B	-0.00793859	-0.004290079	0.004290079	2.86054E-10
ANAPC1	-0.058159945	-0.053795031	0.053795031	8.2596E-161
ANAPC10	-0.071419486	-0.065171913	0.065171913	6.7744E-112
ANAPC16	-0.002230957	0.002233418	-0.002233418	3.85744E-11
ANAPC4	-0.007396481	-0.00413127	0.00413127	3.91837E-11
ANAPC5	0.010547248	0.014804557	-0.014804557	1.95708E-11
ANAPC7	0.000560633	0.003424752	-0.003424752	0.000537207
ANGEL2	-0.003875913	-0.000438641	0.000438641	5.48236E-11
ANK1	-0.016041151	-0.011177395	0.011177395	4.02187E-13
ANK2	-0.041895328	-0.036712031	0.036712031	1.55319E-67
ANK3	-0.023842142	-0.017440618	0.017440618	2.08707E-34
ANKAR	-0.018575985	-0.014419362	0.014419362	2.80066E-19
ANKDD1A	0.013011029	0.016725014	-0.016725014	2.93204E-22
ANKFN1	-0.025933887	-0.022270888	0.022270888	5.63087E-62
ANKFY1	-0.020564781	-0.016116954	0.016116954	1.34269E-20
ANKH	0.00929416	0.017565161	-0.017565161	3.16189E-08
ANKIB1	-0.037755276	-0.03018756	0.03018756	7.04822E-25
ANKLE2	-0.005555888	-0.002927798	0.002927798	2.17433E-09
ANKMY1	-0.020024287	-0.017200569	0.017200569	1.26129E-51
ANKMY2	-0.00147363	0.002588857	-0.002588857	5.29145E-06
ANKRD10	-0.059751837	-0.053656535	0.053656535	3.06297E-94
ANKRD11	-0.104463395	-0.09650488	0.09650488	1.4475E-145
ANKRD12	0.000769891	0.009377639	-0.009377639	2.47688E-21
ANKRD13A	0.0057179	0.008855895	-0.008855895	1.67977E-05
ANKRD13C	-0.041279125	-0.035332461	0.035332461	1.13611E-43
ANKRD13D	0.022752793	0.0260076	-0.0260076	9.23768E-42
ANKRD16	-0.012794917	-0.009501693	0.009501693	1.60436E-13
ANKRD17	-0.063252522	-0.053939543	0.053939543	8.29618E-41
ANKRD18A	0.005452616	0.007992975	-0.007992975	6.70454E-17
ANKRD18B	-0.01174765	-0.008010582	0.008010582	2.39352E-14
ANKRD23	-0.011616245	-0.008890511	0.008890511	3.70587E-20
ANKRD24	-0.042409477	-0.036804056	0.036804056	1.88389E-72
ANKRD26	-0.056551563	-0.048573198	0.048573198	7.91705E-61
ANKRD27	-0.006978119	-0.003884267	0.003884267	3.32442E-13
ANKRD28	-0.053564141	-0.046719976	0.046719976	1.16076E-52
ANKRD29	-0.008672856	-0.005737225	0.005737225	2.48669E-08
ANKRD30B	-0.02916332	-0.025618623	0.025618623	7.59911E-60
ANKRD30BL	-0.252001338	-0.242227154	0.242227154	0
ANKRD33B	-0.038335504	-0.033397101	0.033397101	2.30565E-57
ANKRD36	-0.036848367	-0.027482394	0.027482394	1.06507E-29
ANKRD36B	-0.025479163	-0.019432258	0.019432258	1.56633E-20
ANKRD36C	-0.09369777	-0.084619259	0.084619259	6.71727E-98
ANKRD40	0.008242442	0.010836183	-0.010836183	5.31362E-12
ANKRD42	-0.014980158	-0.011499698	0.011499698	4.52448E-18
ANKRD44	-0.019812927	-0.014285881	0.014285881	2.47219E-12
ANKRD46	0.00237628	0.006403474	-0.006403474	0.151376267
ANKRD49	0.00744888	0.010430422	-0.010430422	1.74899E-07
ANKRD50	-0.000304743	0.002952909	-0.002952909	0.982584088
ANKRD52	0.012533898	0.01577356	-0.01577356	3.15712E-22
ANKRD6	0.01417989	0.018595544	-0.018595544	1.56437E-09
ANKRD7	-0.026248086	-0.022304626	0.022304626	1.16976E-42
ANKS1A	-0.028471942	-0.022738646	0.022738646	6.83752E-24
ANKS1B	-0.11192726	-0.106978921	0.106978921	0
ANKS3	-0.000320232	0.003483918	-0.003483918	0.00157158
ANKS6	-0.034124466	-0.029674989	0.029674989	3.76207E-53
ANKZF1	-0.006178177	-0.002750021	0.002750021	8.43409E-40
ANO10	-0.032565613	-0.026875718	0.026875718	8.73859E-29
ANO3	-0.0234922	-0.017018664	0.017018664	2.69313E-21
ANO4	-0.037281242	-0.029470482	0.029470482	1.86944E-20
ANO5	-0.053561858	-0.046124297	0.046124297	1.65467E-44
ANO6	-0.015741443	-0.011622339	0.011622339	1.26354E-16
ANO8	0.01343935	0.016486953	-0.016486953	2.0096E-17
ANP32A	0.003450077	0.00718706	-0.00718706	1.90663E-06
ANTXR1	-0.03307906	-0.028415705	0.028415705	1.1581E-45
ANXA11	-0.028074367	-0.023778592	0.023778592	1.12977E-38
ANXA4	0.002316991	0.00500666	-0.00500666	1.59524E-09
ANXA6	0.006916082	0.011673806	-0.011673806	0.002686468
ANXA7	-0.013395992	-0.009166272	0.009166272	1.75808E-12
AOPEP	0.140954516	0.144405198	-0.144405198	0
AP1AR	0.001522471	0.004695122	-0.004695122	5.09998E-11
AP1B1	0.006752282	0.010539705	-0.010539705	1.99541E-13
AP1G1	0.0068999	0.011283023	-0.011283023	4.95512E-12
AP1G2	0.042525468	0.04802383	-0.04802383	1.05683E-71
AP1M1	0.009099278	0.013214891	-0.013214891	4.93974E-06
AP1S1	0.00916423	0.0121431	-0.0121431	1.40449E-08
AP1S2	0.004470657	0.007667103	-0.007667103	0.019353285
AP2A1	0.00591055	0.009309353	-0.009309353	0.00071209
AP2A2	-0.021863727	-0.015485468	0.015485468	4.55151E-17
AP2B1	0.091168061	0.09707913	-0.09707913	9.5517E-257
AP2M1	0.057870096	0.063774188	-0.063774188	3.9941E-85
AP2S1	-0.003019244	0.000607748	-0.000607748	0.007978754
AP3B1	-0.021302241	-0.016541376	0.016541376	1.16044E-27
AP3B2	-0.019680727	-0.01453861	0.01453861	1.0506E-16
AP3D1	-0.003512866	5.18003E-05	-5.18003E-05	0.021907227
AP3M2	0.008912714	0.012017239	-0.012017239	5.55622E-10
AP3S1	-0.019427132	-0.014693784	0.014693784	1.44724E-17
AP4E1	-0.009229727	-0.005809517	0.005809517	4.71488E-11
AP4S1	0.005381738	0.009211607	-0.009211607	1.16322E-05
AP5M1	0.011030004	0.015156463	-0.015156463	8.28404E-16
AP5Z1	0.01129809	0.014177483	-0.014177483	3.15117E-17
APAF1	-0.000511242	0.002230655	-0.002230655	0.000239608
APBA1	-0.067787027	-0.059781969	0.059781969	5.22231E-61
APBA2	-0.085619351	-0.07797061	0.07797061	1.1466E-106
APBB1	0.086245675	0.091933731	-0.091933731	1.7757E-211
APBB2	-0.039087016	-0.031797028	0.031797028	2.87609E-31
APC	0.104448878	0.110964137	-0.110964137	1.2853E-284
APC2	0.005122062	0.009536863	-0.009536863	0.00013595
APH1B	-0.005025536	-0.002389225	0.002389225	1.50687E-05
API5	0.017261256	0.021690919	-0.021690919	1.2187E-25
APIP	-0.011145442	-0.008136311	0.008136311	1.15819E-13
APLP1	0.046238233	0.051328919	-0.051328919	6.64697E-70
APLP2	0.002567372	0.008924095	-0.008924095	0.340115852
APMAP	-0.00804413	-0.005167788	0.005167788	8.57071E-10
APOE	0.064227412	0.068392339	-0.068392339	4.6328E-197
APOL2	0.00220709	0.005371902	-0.005371902	1.3666E-17
APOO	-0.070113015	-0.066027376	0.066027376	2.614E-283
APOOL	0.001476083	0.004681848	-0.004681848	1.11804E-05
APP	-0.019476331	-0.010081656	0.010081656	2.50991E-09
APPBP2	-0.021230562	-0.016262655	0.016262655	1.25213E-19
APPL1	0.01158568	0.01551182	-0.01551182	2.59341E-15
APPL2	-0.033843844	-0.029045813	0.029045813	5.14161E-47
APTX	0.008234381	0.011605933	-0.011605933	1.57249E-12
AQR	-0.000706208	0.003598371	-0.003598371	0.000981224
ARAP2	-0.033000453	-0.024946819	0.024946819	6.14184E-28
AREL1	-0.001843286	0.001029703	-0.001029703	1.24232E-07
ARF1	-0.002211913	0.00304331	-0.00304331	0.655314485
ARFGAP1	0.06886699	0.073635185	-0.073635185	8.6613E-197
ARFGAP2	0.030326553	0.033888495	-0.033888495	2.85717E-63
ARFGAP3	-0.002020423	0.000627871	-0.000627871	5.12884E-05
ARFGEF1	-0.023931945	-0.017292615	0.017292615	6.39973E-12
ARFGEF2	-0.051289687	-0.044922397	0.044922397	1.1529E-57
ARFGEF3	-0.023230294	-0.015190138	0.015190138	1.24513E-09
ARFIP1	-0.013322975	-0.008857588	0.008857588	2.18245E-13
ARFRP1	0.021375676	0.024847333	-0.024847333	3.47896E-39
ARGLU1	-0.025949885	-0.019014754	0.019014754	2.94058E-22
ARHGAP1	0.00970289	0.012684765	-0.012684765	9.2004E-20
ARHGAP10	-0.001888966	0.001912113	-0.001912113	0.000218088
ARHGAP12	0.007432887	0.011821084	-0.011821084	1.07873E-05
ARHGAP17	-0.007095206	-0.003407158	0.003407158	7.0423E-06
ARHGAP18	0.01360117	0.016883268	-0.016883268	2.77778E-15
ARHGAP20	-0.034941147	-0.029671882	0.029671882	3.83611E-39
ARHGAP21	-0.107845203	-0.098941773	0.098941773	2.0255E-123
ARHGAP22	-0.015289584	-0.011287957	0.011287957	6.64487E-23
ARHGAP23	0.016672621	0.019618722	-0.019618722	1.8114E-31
ARHGAP24	0.020852642	0.024104107	-0.024104107	1.0808E-34
ARHGAP26	-0.099767287	-0.090065195	0.090065195	2.56682E-89
ARHGAP28	0.005688595	0.009145918	-0.009145918	0.001062178
ARHGAP29	-0.014594148	-0.011505592	0.011505592	4.23666E-28
ARHGAP32	-0.130967952	-0.121389952	0.121389952	1.3774E-155
ARHGAP33	0.024948938	0.027932504	-0.027932504	9.96483E-61
ARHGAP35	0.046760806	0.052821888	-0.052821888	5.47489E-69
ARHGAP39	-0.013785125	-0.009482659	0.009482659	3.01956E-21
ARHGAP44	-0.051945133	-0.044101075	0.044101075	1.83024E-37
ARHGAP5	0.027371166	0.034483851	-0.034483851	9.0589E-24
ARHGAP6	0.000182545	0.00326583	-0.00326583	0.280748443
ARHGDIA	0.030128218	0.034123435	-0.034123435	1.45427E-48
ARHGDIG	0.038595454	0.042858795	-0.042858795	1.02351E-70
ARHGEF10L	-0.010660236	-0.007759765	0.007759765	1.10157E-14
ARHGEF11	-0.012638218	-0.007090798	0.007090798	1.96821E-06
ARHGEF12	-0.025408661	-0.01663946	0.01663946	1.02792E-15
ARHGEF17	0.030638782	0.034448828	-0.034448828	1.61047E-55
ARHGEF2	-0.005888826	-0.002763481	0.002763481	1.40248E-08
ARHGEF25	0.006041151	0.010543162	-0.010543162	2.02562E-18
ARHGEF28	0.007651008	0.012019118	-0.012019118	0.000331964
ARHGEF3	-0.040854571	-0.034086173	0.034086173	8.91798E-34
ARHGEF4	0.042443999	0.048155388	-0.048155388	2.10414E-56
ARHGEF6	0.003194202	0.006468458	-0.006468458	1.12896E-13
ARHGEF7	-0.094946442	-0.086177676	0.086177676	2.6071E-100
ARHGEF9	-0.053036399	-0.04619219	0.04619219	1.17804E-54
ARID1A	-0.013963627	-0.009122706	0.009122706	1.6011E-10
ARID1B	-0.030392795	-0.021048545	0.021048545	2.02721E-31
ARID2	-0.013074617	-0.008275932	0.008275932	1.9267E-15
ARID4A	0.000102162	0.005658496	-0.005658496	1.42892E-13
ARID4B	-0.070981968	-0.063138352	0.063138352	1.3081E-70
ARID5B	-0.013427698	-0.005002261	0.005002261	7.06715E-11
ARIH1	-0.022665311	-0.015189803	0.015189803	1.10074E-11
ARIH2	0.005322781	0.010108616	-0.010108616	1.09605E-07
ARL1	0.000329251	0.003104111	-0.003104111	0.004179465
ARL10	0.000417948	0.003541926	-0.003541926	4.04592E-09
ARL13B	-0.027894518	-0.023820023	0.023820023	1.4128E-44
ARL14EP	0.003474823	0.006599264	-0.006599264	0.000263617
ARL15	0.00565844	0.015002293	-0.015002293	1.99117E-18
ARL17A	0.007377718	0.010125271	-0.010125271	9.45386E-08
ARL17B	-0.189098877	-0.183797567	0.183797567	0
ARL2BP	0.00505535	0.008284196	-0.008284196	5.25669E-08
ARL3	-0.005426734	-0.00148446	0.00148446	0.000106658
ARL4C	-0.000956814	0.003493852	-0.003493852	0.912644477
ARL5A	0.018911988	0.021783345	-0.021783345	7.23683E-37
ARL5B	0.000901649	0.003665842	-0.003665842	0.080892695
ARL6	-0.009039502	-0.005372888	0.005372888	1.09573E-08
ARL6IP4	0.035415612	0.0399243	-0.0399243	2.67203E-65
ARL6IP5	-0.001654008	0.002628795	-0.002628795	0.000988047
ARL6IP6	-6.64049E-05	0.002877198	-0.002877198	0.100822836
ARL8A	-0.002984645	0.00097274	-0.00097274	0.000996753
ARL8B	0.001157209	0.006383582	-0.006383582	1.45567E-05
ARMC1	0.003256895	0.006467961	-0.006467961	0.000342069
ARMC10	0.005954084	0.008498337	-0.008498337	2.73892E-10
